Категория;Секция;Подкатегория;Услуга;Описание;HTML_Opis;Цена;Срок выполнения;Примечания;Ссылка
Serwis Laptopów;Diagnoza i wycena;;Wstępna diagnoza i wycena online (Opis problemu przez WhatsApp/stronę internetową/telefon - pomożemy ustalić, czy naprawa się opłaca);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wstępna diagnoza i wycena online (Opis problemu przez WhatsApp/stronę internetową/telefon - pomożemy ustalić, czy naprawa się opłaca)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;GRATIS;15 min;GRATIS;
Serwis Laptopów;Diagnoza i wycena;;Diagnoza i wycena naprawy (przy dostawie do serwisu) (również w razie rezygnacji z naprawy);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Diagnoza i wycena naprawy (przy dostawie do serwisu) (również w razie rezygnacji z naprawy)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;GRATIS;24 h;GRATIS;
Serwis Laptopów;Diagnoza i wycena;;Diagnoza i wycena w formie pisemnej (bez naprawy, np. dla ubezpieczyciela);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Diagnoza i wycena w formie pisemnej (bez naprawy, np. dla ubezpieczyciela)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;90;1-3 dni;GRATIS;
Serwis Laptopów;Diagnoza i wycena;;Usługi w trybie ekspresowym (do 24 godzin, stawka z cennika);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Usługi w trybie ekspresowym (do 24 godzin, stawka z cennika)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;+ 100% do ceny;24 h;GRATIS;
Serwis Laptopów;Dojazd;;Dojazd (przy zleceniu naprawy) (Wrocław do 10 km, w tym diagnoza);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Dojazd (przy zleceniu naprawy) (Wrocław do 10 km, w tym diagnoza)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;GRATIS;1-3 dni;GRATIS;
Serwis Laptopów;Dojazd;;Dojazd (przy rezygnacji z naprawy) (Wrocław do 10 km, diagnoza + naprawy do 15 min);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Dojazd (przy rezygnacji z naprawy) (Wrocław do 10 km, diagnoza + naprawy do 15 min)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100;1-3 dni;GRATIS;
Serwis Laptopów;Dojazd;;Dojazd (powyżej 10 km) (liczony w obie strony);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Dojazd (powyżej 10 km) (liczony w obie strony)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;1,5 zł/km;1-3 dni;GRATIS;
Serwis Laptopów;Dojazd;;Dostarczenie naprawionego urządzenia (Wrocław do 10 km, obie strony);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Dostarczenie naprawionego urządzenia (Wrocław do 10 km, obie strony)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;1,5 zł/km;1-3 dni;GRATIS;
Serwis Laptopów;Dojazd;;Usługi w trybie ekspresowym (do 24 godzin);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Usługi w trybie ekspresowym (do 24 godzin)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;+ 100% do ceny;24 h;GRATIS;
Serwis Laptopów;Czyszczenie i konserwacja (bez naprawy);;PODSTAWOWY do 30 min. (przegląd i profilaktyka, zmniejsza ryzyko awarii i stresu) (czyszczenie zewnętrzne i wewnętrzne laptopa, czyszczenie wentylatora i radiatora, wymiana past termoprzewodzących CPU/GPU, usunięcie kurzu i zanieczyszczeń, testy obciążeniowe + test temperatur);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>PODSTAWOWY do 30 min. (przegląd i profilaktyka, zmniejsza ryzyko awarii i stresu) (czyszczenie zewnętrzne i wewnętrzne laptopa, czyszczenie wentylatora i radiatora, wymiana past termoprzewodzących CPU/GPU, usunięcie kurzu i zanieczyszczeń, testy obciążeniowe + test temperatur)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;120;1-3 dni;;
Serwis Laptopów;Czyszczenie i konserwacja (bez naprawy);;STANDARD do 1 godziny (standardowa konserwacja) (Zakres PODSTAWOWY + Wymiana / dopasowanie termopadów, Konserwacja portów, Krótki test pamięci RAM i dysku SMART);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>STANDARD do 1 godziny (standardowa konserwacja) (Zakres PODSTAWOWY + Wymiana / dopasowanie termopadów, Konserwacja portów, Krótki test pamięci RAM i dysku SMART)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;160;1-3 dni;;
